,title_maart,title_april,published_at_maart,views_maart,rank_in_region_maart,views_april,rank_in_region_april,country_april,days_since_upload_april,duration_in_minutes_april,category_name_april,rank_change
109,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16690922,47,30400086.0,35,Oeganda,34,0.6,Entertainment,-12
110,BẮC BLING (BẮC NINH) | OFFICIAL MV | HOÀ MINZY ft NS XUÂN HINH x MASEW x TUẤN CRY,BẮC BLING (BẮC NINH) | OFFICIAL MV | HOÀ MINZY ft NS XUÂN HINH x MASEW x TUẤN CRY,2025-03-01 12:00:07,9625347,1,110340531.0,41,Vietnam,30,4.3,Music,40
111,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2009094,21,11697203.0,47,Libanon,31,2.9,Music,26
112,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36050754,10,99252449.0,38,Oeganda,33,1.2,Entertainment,28
113,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36050754,10,99252449.0,50,Zimbabwe,33,1.2,Entertainment,40
114,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36050754,10,99252449.0,38,Malta,33,1.2,Entertainment,28
115,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16607109,24,30400086.0,35,Oeganda,34,0.6,Entertainment,11
116,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,20965178,28,51493926.0,42,Oeganda,33,0.2,Comedy,14
117,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,2025-02-25 09:00:13,25154845,42,98503326.0,39,Oeganda,34,0.4,People & Blogs,-3
118,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36050754,7,99252449.0,38,Oeganda,33,1.2,Entertainment,31
119,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36050754,7,99252449.0,50,Zimbabwe,33,1.2,Entertainment,43
120,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36050754,7,99252449.0,38,Malta,33,1.2,Entertainment,31
121,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16607109,25,30400086.0,35,Oeganda,34,0.6,Entertainment,10
122,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,20965178,32,51493926.0,42,Oeganda,33,0.2,Comedy,10
123,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36050754,4,99252449.0,38,Oeganda,33,1.2,Entertainment,34
